skill_id,name,description,estimated_hours,roadmap_id,parent_id,parent_title,node_type,category
ai_agents,AI Agents and Tool Calling,"AI Agents and Tool Calling: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,ai_rag,Retrieval-Augmented Generation,skill,ai_ml
generative_ai_15,Agents,"Agents: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
computer_vision_5,CNNs,"CNNs: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_calculus,Calculus and Optimization for Machine Learning,"Calculus and Optimization for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,ai_linear_algebra,Linear Algebra for Machine Learning,skill,ai_ml
computer_vision_1,Computer Vision Fundamentals,"Computer Vision Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
ai_cnn,Convolutional Neural Networks,"Convolutional Neural Networks: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_ai_ml,ai_pytorch,PyTorch Deep Learning Engineering,skill,ai_ml
computer_vision_9,Data Augmentation,"Data Augmentation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_deep_learning,Deep Learning Fundamentals,"Deep Learning Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_calculus,Calculus and Optimization for Machine Learning,skill,ai_ml
generative_ai_4,Embeddings,"Embeddings: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
ai_embeddings,Embeddings and Semantic Search,"Embeddings and Semantic Search: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_llm,Large Language Models,skill,ai_ml
ai_ensemble,Ensemble Learning,"Ensemble Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_sklearn,Scikit-learn Machine Learning,skill,ai_ml
generative_ai_16,Evaluation,"Evaluation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_feature_engineering,Feature Engineering,"Feature Engineering: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_data_preprocessing,Machine Learning Data Preprocessing,skill,ai_ml
generative_ai_13,Fine Tuning,"Fine Tuning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
generative_ai_9,Function Calling,"Function Calling: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
generative_ai_1,Generative AI Fundamentals,"Generative AI Fundamentals: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
generative_ai_17,Guardrails,"Guardrails: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
computer_vision_4,Image Classification,"Image Classification: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
computer_vision_2,Image Processing,"Image Processing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",6,hermes_ai_ml,,,skill,ai_ml
computer_vision_7,Image Segmentation,"Image Segmentation: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
generative_ai_7,Inference,"Inference: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_evaluation,LLM Evaluation and AI Quality,"LLM Evaluation and AI Quality: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",14,hermes_ai_ml,ai_rag,Retrieval-Augmented Generation,skill,ai_ml
ai_finetuning,LLM Fine-Tuning,"LLM Fine-Tuning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,ai_llm,Large Language Models,skill,ai_ml
ai_guardrails,"LLM Safety, Guardrails and Reliability","LLM Safety, Guardrails and Reliability: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",12,hermes_ai_ml,ai_evaluation,LLM Evaluation and AI Quality,skill,ai_ml
ai_llm,Large Language Models,"Large Language Models: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_transformers,Transformers and Attention Mechanisms,skill,ai_ml
ai_linear_algebra,Linear Algebra for Machine Learning,"Linear Algebra for Machine Learning: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",16,hermes_ai_ml,,,skill,ai_ml
generative_ai_14,LoRA,"LoRA: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",8,hermes_ai_ml,,,skill,ai_ml
ai_mlops,MLOps and Machine Learning Systems,"MLOps and Machine Learning Systems: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",18,hermes_ai_ml,ai_deployment,Machine Learning Model Deployment,skill,ai_ml
ai_data_preprocessing,Machine Learning Data Preprocessing,"Machine Learning Data Preprocessing: core concepts, practical implementation, tools, best practices, troubleshooting, and production usage.",10,hermes_ai_ml,ai_pandas,Pandas for Machine Learning,skill,ai_ml
