skill_id,name,description,estimated_hours,roadmap_ids
f876d2fa-a91c-4f00-9697-921be906cab3,"Modern Web Foundations (HTML5, Semantic UI, Responsive CSS)","Build accessible, semantic markup with CSS Flexbox, Grid, custom properties, and responsive design patterns.",14,17d7145f-e61f-4439-bccf-b22980138d6e
731fcc58-a21e-4bd9-b232-e579ce154c4f,Semantic HTML & Accessibility (a11y),"Landmark elements, ARIA attributes, keyboard navigation, and contrast guidelines.",6,17d7145f-e61f-4439-bccf-b22980138d6e
5af1bff6-8a9e-45ec-b79e-732e249aa3de,Modern CSS Layouts (Flexbox & Grid),"Two-dimensional grid tracks, alignment properties, container queries, and subgrid.",8,17d7145f-e61f-4439-bccf-b22980138d6e
bc3d8028-2907-4145-a255-4a71c9bf6a38,"Modern JavaScript Deep-Dive (ES6+, DOM, Asynchronous JS)","Master closures, event loop, Promises, async/await, fetch API, modular architecture, and DOM manipulation.",22,17d7145f-e61f-4439-bccf-b22980138d6e
4035db85-c473-4274-9f9e-3397f2bf3fb4,Frontend Framework & State Management (React / Vue / Svelte),"Component lifecycles, custom hooks, reactive state, declarative routing, and scalable client architecture.",28,17d7145f-e61f-4439-bccf-b22980138d6e
9157adc2-9e03-4f43-8461-b115d456233d,Backend API Engineering & Database Architecture,"Design REST/GraphQL services, auth middleware (JWT/OAuth), relational databases (PostgreSQL), and ORM patterns.",26,17d7145f-e61f-4439-bccf-b22980138d6e
d782c001-d592-42de-9ba9-bad1311df9b0,"Testing, CI/CD & Production Deployment","Implement unit/integration tests with Vitest/Jest, GitHub Actions CI/CD, Docker containers, and Cloud hosting.",18,17d7145f-e61f-4439-bccf-b22980138d6e
7053c2e9-d99b-4c23-864d-b11a177a478d,Full-Stack Capstone Application & Portfolio Showcase,"Ship a production-grade application with authentication, real-time data, and payment/APIs meeting Quantum Software Engineer industry standards.",30,17d7145f-e61f-4439-bccf-b22980138d6e
50ee83c1-4be0-49a4-8f4a-0c1dd6e670e6,C++ Foundations & Compilation Pipeline,"Preprocessor directives, compilation vs linking, header files, header guards, namespaces, primitive types, and I/O streams.",16,cf08b1ff-e906-4d7a-a007-b0a40f223c79
a590230e-30f0-4720-bb81-edca380dc202,Build Systems & CMake Basics,"CMakeLists.txt, target_link_libraries, compiler flags (-Wall, -Wextra), and debug vs release builds.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
6e7c6ec1-59ca-4bae-a2d1-eb53b35ed3e9,"Functions, Pass-by-Value vs Pass-by-Reference","Constant references (const T&), function overloading, default arguments, and inline functions.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
f54cdf9c-7c3c-4601-b2a8-996feea888b2,"Memory Management, Pointers & References","Stack vs Heap memory, raw pointers, pointer arithmetic, memory alignment, dynamic allocation (new/delete), and avoiding memory leaks.",20,cf08b1ff-e906-4d7a-a007-b0a40f223c79
59c9675b-1379-4fcd-9fd5-9949d33c2612,"Fundamentals & Core Theory of Memory Management, Pointers & References","Understand the core architecture, mental model, and foundational principles behind Memory Management, Pointers & References.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
fc0fc7ab-1840-4253-a339-cacbc77018db,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",7,cf08b1ff-e906-4d7a-a007-b0a40f223c79
f9c324f8-dcd7-4d85-87b1-0481330eccfd,Alternative Patterns & Tooling,"Explore alternative frameworks, libraries, or architectural approaches to solve the same problem.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
5e6e2f97-259a-4743-b9a8-93235e0a16f4,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
78faf905-e333-47f0-97fc-a9a18b0ae44a,"RAII & Smart Pointers (std::unique_ptr, std::shared_ptr)","Resource Acquisition Is Initialization (RAII), std::unique_ptr, std::shared_ptr, std::weak_ptr, and custom deleters.",18,cf08b1ff-e906-4d7a-a007-b0a40f223c79
2febd5c2-76c2-40df-9e3c-8b45fd0d0126,Fundamentals & Core Theory of RAII & Smart Pointers,"Understand the core architecture, mental model, and foundational principles behind RAII & Smart Pointers (std::unique_ptr, std::shared_ptr).",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
f01a19e1-e636-4ce4-bd2c-af7ce96f95c3,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",6,cf08b1ff-e906-4d7a-a007-b0a40f223c79
7892f47e-8443-49f4-a073-31e2efeeba32,Alternative Patterns & Tooling,"Explore alternative frameworks, libraries, or architectural approaches to solve the same problem.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
65326dd2-42ce-4b06-b034-b9ba17838f50,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
924cf3ef-cabe-4cb7-ac26-90b1990ae8a8,Object-Oriented C++ & Rule of Zero/Three/Five,"Constructors, Destructors, Copy/Move constructors, Move assignment, virtual functions, vtables, and abstract interfaces.",22,cf08b1ff-e906-4d7a-a007-b0a40f223c79
80b366a2-154f-47ea-8dfb-f8354416b79c,Fundamentals & Core Theory of Object-Oriented C++ & Rule of Zero/Three/Five,"Understand the core architecture, mental model, and foundational principles behind Object-Oriented C++ & Rule of Zero/Three/Five.",6,cf08b1ff-e906-4d7a-a007-b0a40f223c79
5fbdc749-d389-424d-8c5a-3dddf3372fbb,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",8,cf08b1ff-e906-4d7a-a007-b0a40f223c79
3752ed20-89d1-478b-b2b6-c4af34369b42,Alternative Patterns & Tooling,"Explore alternative frameworks, libraries, or architectural approaches to solve the same problem.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
adb814ef-f0f7-4adb-871f-a2782ac392ca,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
3871e484-0f8e-4da9-acde-905a24d5779c,"STL Containers & Algorithms (vector, map, iterators)","std::vector, std::array, std::unordered_map, std::span, iterators, std::sort, std::find, and lambda expressions.",20,cf08b1ff-e906-4d7a-a007-b0a40f223c79
6d41133b-2e3c-4ac8-ba8b-911fc525190b,Fundamentals & Core Theory of STL Containers & Algorithms,"Understand the core architecture, mental model, and foundational principles behind STL Containers & Algorithms (vector, map, iterators).",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
91145664-90a0-4a73-a762-8994ec4734c4,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",7,cf08b1ff-e906-4d7a-a007-b0a40f223c79
544fd3ef-60e2-4974-a8af-b67a39eccb75,Alternative Patterns & Tooling,"Explore alternative frameworks, libraries, or architectural approaches to solve the same problem.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
fa497037-e980-48c4-bb14-f92032099eec,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",4,cf08b1ff-e906-4d7a-a007-b0a40f223c79
5c2730a2-b396-4b0a-b7a1-8167d901d0ed,"Templates, Metaprogramming & C++20 Concepts","Function/class templates, template specialization, constexpr, type traits, SFINAE, and C++20 Concepts/Requires clauses.",24,cf08b1ff-e906-4d7a-a007-b0a40f223c79
27606ea9-b872-4166-a9f4-93165c06d66c,"Fundamentals & Core Theory of Templates, Metaprogramming & C++20 Concepts","Understand the core architecture, mental model, and foundational principles behind Templates, Metaprogramming & C++20 Concepts.",6,cf08b1ff-e906-4d7a-a007-b0a40f223c79
8d89a07f-1174-468d-a0f2-c21b7ae00992,Hands-On Implementation & Patterns,"Build practical working examples, leverage industry-standard design patterns, and write clean, maintainable code.",8,cf08b1ff-e906-4d7a-a007-b0a40f223c79
1b3d9937-ff40-4835-9c1e-27d4a84d6485,Alternative Patterns & Tooling,"Explore alternative frameworks, libraries, or architectural approaches to solve the same problem.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
f3c0d4c3-194a-43ea-92b7-f80c329dcce8,Mini-Project & Practical Checkpoint,"Assemble everything learned in this module into a self-contained, working portfolio artifact.",5,cf08b1ff-e906-4d7a-a007-b0a40f223c79
